wavelength_nm,reflectance
205.10,0.033701
213.10,0.035717
221.10,0.035481
229.10,0.035345
236.10,0.034786
242.10,0.033701
248.10,0.033403
253.60,0.033197
258.60,0.033780
263.60,0.032683
268.60,0.033050
273.10,0.034391
277.10,0.034719
281.10,0.036169
285.10,0.036183
289.10,0.037872
293.10,0.040492
297.10,0.043095
301.10,0.045436
305.10,0.048299
309.10,0.051189
313.10,0.055140
317.10,0.060014
321.10,0.063671
325.10,0.067156
329.10,0.071972
333.10,0.076904
337.10,0.080810
341.10,0.084013
345.10,0.087068
349.10,0.090663
353.10,0.093647
357.10,0.096927
360.60,0.099561
363.60,0.102686
366.60,0.105259
369.60,0.107261
372.60,0.109752
375.60,0.111676
378.60,0.113315
381.10,0.114961
383.10,0.116750
385.10,0.118054
387.10,0.120605
389.10,0.122059
391.10,0.124173
393.10,0.124972
395.10,0.126302
397.10,0.127552
399.10,0.129201
401.10,0.131260
403.10,0.132608
405.10,0.134686
407.10,0.136659
409.10,0.139353
411.10,0.141298
412.80,0.145137
415.80,0.147951
418.80,0.151935
421.80,0.155413
424.80,0.158650
427.80,0.162239
430.80,0.165507
433.80,0.167423
436.80,0.168024
439.80,0.169047
442.80,0.172403
445.80,0.175907
448.80,0.179011
451.30,0.181264
453.30,0.182599
455.30,0.184467
457.30,0.185956
459.30,0.188436
461.30,0.190219
463.30,0.191397
465.30,0.194474
467.30,0.195577
469.30,0.198091
471.30,0.199514
473.30,0.202015
475.30,0.204014
477.30,0.206371
479.30,0.209486
481.30,0.209313
483.30,0.211322
485.30,0.212764
487.30,0.213898
489.30,0.214113
491.30,0.215171
493.30,0.216713
495.30,0.218833
497.30,0.220398
499.30,0.221917
501.30,0.222164
503.30,0.223434
505.30,0.223911
507.30,0.223894
509.30,0.224825
511.30,0.225438
513.30,0.227139
515.30,0.227476
517.30,0.227329
519.30,0.227992
521.30,0.227173
523.30,0.227783
525.30,0.226537
527.30,0.226327
529.30,0.226873
531.30,0.225514
533.30,0.226686
535.30,0.226008
537.30,0.224899
539.30,0.225507
541.30,0.224119
543.30,0.222992
545.30,0.222316
547.30,0.222401
549.30,0.220929
551.30,0.220985
553.30,0.220519
555.30,0.219412
557.30,0.220292
559.30,0.219817
561.30,0.218615
563.30,0.218486
565.30,0.217206
567.30,0.217002
569.30,0.215471
571.30,0.214158
573.30,0.214470
575.30,0.213364
577.30,0.213024
579.30,0.212394
581.30,0.211402
583.30,0.210314
585.30,0.209309
587.30,0.208981
589.30,0.207522
591.30,0.206628
593.30,0.205693
595.30,0.204462
597.30,0.203951
599.30,0.203013
601.10,0.202870
602.70,0.201734
604.30,0.200822
605.90,0.199779
607.50,0.199490
609.10,0.198957
610.70,0.197650
612.30,0.197601
613.90,0.195653
615.50,0.195839
617.10,0.194675
618.70,0.194422
620.30,0.195243
621.90,0.192465
623.50,0.192144
625.10,0.192097
626.70,0.190820
628.30,0.190500
629.90,0.189444
631.70,0.188984
633.70,0.187545
635.70,0.187698
637.70,0.185862
639.70,0.185770
641.70,0.184616
643.70,0.184276
645.70,0.183665
647.70,0.183361
649.70,0.183125
651.70,0.182348
653.70,0.181593
655.70,0.181200
657.70,0.180982
659.70,0.180535
661.70,0.179848
663.70,0.179475
665.70,0.179566
667.70,0.178572
670.20,0.178794
673.20,0.178076
676.20,0.178163
679.20,0.177830
682.20,0.178539
685.20,0.177817
688.20,0.177574
691.20,0.177809
694.20,0.176893
697.20,0.175992
700.20,0.176690
702.00,0.176277
704.00,0.176596
706.00,0.176481
708.00,0.177230
710.00,0.177202
712.00,0.178040
714.00,0.178162
716.00,0.178270
718.00,0.178256
720.00,0.178522
722.00,0.179399
724.00,0.178836
726.00,0.179541
728.00,0.179413
730.00,0.180750
732.00,0.180077
734.00,0.180911
736.00,0.182036
738.00,0.181605
740.00,0.182449
742.00,0.182213
744.00,0.183421
746.00,0.182948
748.00,0.184642
750.50,0.184727
753.50,0.185962
756.50,0.187087
759.50,0.187420
762.50,0.188583
765.50,0.190531
768.50,0.190860
771.50,0.191369
774.50,0.192603
777.50,0.193926
781.00,0.194918
785.00,0.197275
789.00,0.197388
793.00,0.198503
797.00,0.199488
801.50,0.199484
806.50,0.200380
811.50,0.199621
816.50,0.198832
822.00,0.198097
828.00,0.195497
835.00,0.194544
843.00,0.192169
851.00,0.187912
859.00,0.184957
871.00,0.180494
883.00,0.178289
894.00,0.177295
904.00,0.173855
914.00,0.173526
924.00,0.173004
933.00,0.171427
941.00,0.168875
949.00,0.166106
957.00,0.167518
964.00,0.166854
970.00,0.162494
976.00,0.161730
982.00,0.158975
988.00,0.156718
994.00,0.155732
1000.00,0.153583
1006.00,0.151475
1012.00,0.150106
1018.00,0.149936
1023.50,0.149781
1028.50,0.148833
1033.50,0.148094
1038.50,0.149059
1043.50,0.150939
1048.50,0.152769
1053.50,0.154860
1058.50,0.157401
1063.50,0.159510
1068.50,0.164593
1073.50,0.169069
1078.50,0.172984
1083.50,0.178280
1088.50,0.183052
1093.50,0.188059
1098.50,0.191940
1103.50,0.196073
1108.50,0.201032
1113.50,0.204726
1118.50,0.208526
1123.50,0.213165
1128.50,0.217333
1133.50,0.221716
1138.50,0.224486
1143.50,0.229418
1148.50,0.233036
1153.50,0.237293
1158.50,0.240037
1163.50,0.244239
1168.50,0.247411
1173.50,0.251161
1178.50,0.257119
1183.50,0.259740
1188.50,0.265941
1193.50,0.269216
1198.50,0.273854
1203.50,0.278222
1208.50,0.281756
1213.50,0.287213
1218.50,0.291128
1223.50,0.296592
1228.50,0.300476
1233.50,0.306131
1238.50,0.311048
1243.50,0.314794
1248.50,0.320686
1253.50,0.325877
1258.50,0.331228
1263.50,0.334804
1268.50,0.339097
1273.50,0.343822
1278.50,0.349223
1283.50,0.354577
1288.50,0.358267
1293.50,0.362694
1298.50,0.367111
1303.50,0.371471
1308.50,0.377807
1313.50,0.381691
1318.50,0.385019
1323.50,0.390592
1328.50,0.394497
1333.50,0.399178
1338.50,0.402314
1343.50,0.406564
1348.50,0.410490
1353.50,0.414284
1358.50,0.418294
1363.50,0.417679
1368.50,0.418246
1373.50,0.421393
1378.50,0.422809
1383.50,0.394543
1388.50,0.293374
1393.50,0.300259
1398.50,0.373387
1403.50,0.414946
1408.50,0.434557
1413.50,0.441670
1418.50,0.446749
1423.50,0.450081
1428.50,0.450690
1433.50,0.451780
1438.50,0.455260
1443.50,0.457981
1448.50,0.460710
1453.50,0.463992
1458.50,0.468423
1463.50,0.472663
1468.50,0.475784
1473.50,0.478453
1478.50,0.483644
1483.50,0.485249
1488.50,0.487921
1493.50,0.489607
1498.50,0.494557
1503.50,0.494723
1508.50,0.496904
1513.50,0.499472
1518.50,0.500375
1523.50,0.504298
1528.50,0.506285
1534.00,0.509856
1540.00,0.511284
1546.00,0.515493
1552.00,0.519122
1558.00,0.520730
1564.00,0.523549
1570.50,0.528182
1577.50,0.529332
1584.50,0.533588
1591.50,0.538089
1598.50,0.540733
