wavelength_nm,reflectance
205.10,0.094652
213.10,0.096309
221.10,0.091916
229.10,0.084736
236.10,0.106048
242.10,0.093010
248.10,0.081316
253.60,0.082950
258.60,0.091823
263.60,0.105419
268.60,0.096167
273.10,0.106470
277.10,0.104244
281.10,0.130350
285.10,0.130835
289.10,0.135755
293.10,0.127054
297.10,0.161453
301.10,0.161556
305.10,0.186034
309.10,0.204030
313.10,0.205036
317.10,0.219699
321.10,0.244532
325.10,0.253177
329.10,0.279135
333.10,0.297792
337.10,0.311594
341.10,0.318929
345.10,0.331553
349.10,0.347898
353.10,0.358590
357.10,0.370434
360.60,0.377597
363.60,0.383708
366.60,0.395141
369.60,0.397453
372.60,0.407912
375.60,0.414204
378.60,0.416222
381.10,0.422901
383.10,0.432149
385.10,0.432799
387.10,0.438726
389.10,0.443169
391.10,0.446987
393.10,0.453881
395.10,0.453641
397.10,0.452054
399.10,0.458568
401.10,0.463002
403.10,0.468377
405.10,0.471118
407.10,0.470476
409.10,0.475487
411.10,0.483212
412.80,0.481952
415.80,0.484584
418.80,0.482739
421.80,0.492382
424.80,0.494923
427.80,0.489641
430.80,0.502123
433.80,0.503328
436.80,0.501078
439.80,0.502625
442.80,0.499676
445.80,0.504933
448.80,0.504893
451.30,0.508694
453.30,0.506667
455.30,0.509679
457.30,0.510494
459.30,0.510130
461.30,0.514908
463.30,0.513556
465.30,0.515040
467.30,0.516931
469.30,0.518138
471.30,0.518749
473.30,0.524473
475.30,0.525236
477.30,0.530553
479.30,0.529384
481.30,0.535664
483.30,0.538283
485.30,0.539496
487.30,0.542755
489.30,0.545047
491.30,0.544808
493.30,0.545219
495.30,0.552551
497.30,0.555291
499.30,0.556872
501.30,0.561409
503.30,0.562523
505.30,0.567913
507.30,0.572700
509.30,0.570319
511.30,0.573776
513.30,0.581655
515.30,0.582180
517.30,0.585440
519.30,0.587056
521.30,0.591233
523.30,0.598802
525.30,0.600722
527.30,0.598866
529.30,0.607288
531.30,0.613983
533.30,0.612015
535.30,0.619772
537.30,0.625000
539.30,0.625540
541.30,0.630667
543.30,0.632115
545.30,0.633907
547.30,0.643074
549.30,0.647267
551.30,0.646960
553.30,0.652432
555.30,0.655270
557.30,0.664707
559.30,0.667909
561.30,0.670598
563.30,0.679842
565.30,0.679771
567.30,0.687731
569.30,0.692020
571.30,0.695046
573.30,0.699541
575.30,0.703763
577.30,0.707319
579.30,0.716948
581.30,0.718135
583.30,0.715486
585.30,0.725214
587.30,0.727417
589.30,0.734197
591.30,0.737448
593.30,0.736255
595.30,0.743284
597.30,0.742854
599.30,0.743903
601.10,0.749106
602.70,0.757312
604.30,0.759748
605.90,0.752095
607.50,0.757662
609.10,0.765116
610.70,0.760865
612.30,0.769066
613.90,0.771875
615.50,0.769385
617.10,0.770187
618.70,0.779088
620.30,0.778903
621.90,0.781452
623.50,0.778696
625.10,0.784706
626.70,0.792563
628.30,0.793670
629.90,0.791545
631.70,0.789592
633.70,0.798090
635.70,0.802358
637.70,0.799952
639.70,0.807619
641.70,0.806173
643.70,0.809842
645.70,0.813426
647.70,0.812659
649.70,0.820750
651.70,0.819387
653.70,0.822233
655.70,0.820186
657.70,0.823196
659.70,0.827934
661.70,0.826234
663.70,0.832377
665.70,0.835043
667.70,0.837902
670.20,0.836303
673.20,0.840400
676.20,0.839500
679.20,0.842378
682.20,0.844197
685.20,0.851327
688.20,0.852344
691.20,0.849317
694.20,0.853964
697.20,0.850642
700.20,0.854463
702.00,0.854575
704.00,0.858369
706.00,0.861726
708.00,0.864461
710.00,0.865325
712.00,0.864616
714.00,0.862219
716.00,0.866145
718.00,0.861988
720.00,0.863579
722.00,0.865319
724.00,0.866275
726.00,0.863758
728.00,0.867983
730.00,0.865821
732.00,0.866269
734.00,0.868943
736.00,0.872186
738.00,0.869958
740.00,0.874983
742.00,0.871763
744.00,0.874614
746.00,0.877666
748.00,0.868992
750.50,0.865878
753.50,0.868944
756.50,0.868525
759.50,0.870172
762.50,0.872693
765.50,0.869605
768.50,0.873115
771.50,0.873577
