wavelength_nm,reflectance
205.10,0.043700
213.10,0.044321
221.10,0.044558
229.10,0.044487
236.10,0.044643
242.10,0.044416
248.10,0.044295
253.60,0.044354
258.60,0.044617
263.60,0.044555
268.60,0.044723
273.10,0.045090
277.10,0.045441
281.10,0.046092
285.10,0.046826
289.10,0.047148
293.10,0.047784
297.10,0.048661
301.10,0.049163
305.10,0.049795
309.10,0.050272
313.10,0.050756
317.10,0.051294
321.10,0.051630
325.10,0.051568
329.10,0.051883
333.10,0.052049
337.10,0.052423
341.10,0.052367
345.10,0.052528
349.10,0.052917
353.10,0.052499
357.10,0.052937
360.60,0.052783
363.60,0.053280
366.60,0.052924
369.60,0.053245
372.60,0.053484
375.60,0.053702
378.60,0.053934
381.10,0.053994
383.10,0.054533
385.10,0.055022
387.10,0.055683
389.10,0.056433
391.10,0.057178
393.10,0.058239
395.10,0.059151
397.10,0.059786
399.10,0.060608
401.10,0.061419
403.10,0.062387
405.10,0.061778
407.10,0.061872
409.10,0.061317
411.10,0.062147
412.80,0.062056
415.80,0.062039
418.80,0.062176
421.80,0.062161
424.80,0.062596
427.80,0.062210
430.80,0.062529
433.80,0.062778
436.80,0.062700
439.80,0.062968
442.80,0.063157
445.80,0.064323
448.80,0.063808
451.30,0.064215
453.30,0.064581
455.30,0.065047
457.30,0.065424
459.30,0.066278
461.30,0.066749
463.30,0.067178
465.30,0.068117
467.30,0.068952
469.30,0.069788
471.30,0.070514
473.30,0.071465
475.30,0.072363
477.30,0.073889
479.30,0.074777
481.30,0.075947
483.30,0.076726
485.30,0.077979
487.30,0.079679
489.30,0.080995
491.30,0.081977
493.30,0.083587
495.30,0.084523
497.30,0.086720
499.30,0.087963
501.30,0.090100
503.30,0.091997
505.30,0.093686
507.30,0.095150
509.30,0.097081
511.30,0.099352
513.30,0.101702
515.30,0.103370
517.30,0.105946
519.30,0.107398
521.30,0.110130
523.30,0.112323
525.30,0.113764
527.30,0.116059
529.30,0.117419
531.30,0.119394
533.30,0.121564
535.30,0.123513
537.30,0.124131
539.30,0.125294
541.30,0.127112
543.30,0.127782
545.30,0.128931
547.30,0.129390
549.30,0.130250
551.30,0.130842
553.30,0.130776
555.30,0.131348
557.30,0.131508
559.30,0.131870
561.30,0.131697
563.30,0.131602
565.30,0.131783
567.30,0.131683
569.30,0.131649
571.30,0.131580
573.30,0.131635
575.30,0.130969
577.30,0.131129
579.30,0.130494
581.30,0.130368
583.30,0.131207
585.30,0.130416
587.30,0.129862
589.30,0.129870
591.30,0.129591
593.30,0.128690
595.30,0.129291
597.30,0.128776
599.30,0.129491
601.10,0.128572
602.70,0.128451
604.30,0.128149
605.90,0.127937
607.50,0.127665
609.10,0.127424
610.70,0.127387
612.30,0.127830
613.90,0.126813
615.50,0.127074
617.10,0.126710
618.70,0.126904
620.30,0.127184
621.90,0.127135
