wavelength_nm,reflectance
205.10,0.036841
213.10,0.038138
221.10,0.033690
229.10,0.030988
236.10,0.031160
242.10,0.030597
248.10,0.032150
253.60,0.029034
258.60,0.029937
263.60,0.028816
268.60,0.026967
273.10,0.027069
277.10,0.028392
281.10,0.025456
285.10,0.025797
289.10,0.023920
293.10,0.025167
297.10,0.024291
301.10,0.024271
305.10,0.022956
309.10,0.022844
313.10,0.022213
317.10,0.021721
321.10,0.022116
325.10,0.020605
329.10,0.017480
333.10,0.017082
337.10,0.017662
341.10,0.017607
345.10,0.018552
349.10,0.017859
353.10,0.018148
357.10,0.018267
360.60,0.018185
363.60,0.018758
366.60,0.019138
369.60,0.019850
372.60,0.019744
375.60,0.019064
378.60,0.019470
381.10,0.020002
383.10,0.019969
385.10,0.018989
387.10,0.019854
389.10,0.020165
391.10,0.020114
393.10,0.020414
395.10,0.020498
397.10,0.020197
399.10,0.020489
401.10,0.020241
403.10,0.020531
405.10,0.020954
407.10,0.020129
409.10,0.021010
411.10,0.020374
412.80,0.020628
415.80,0.020968
418.80,0.020706
421.80,0.020280
424.80,0.020782
427.80,0.020455
430.80,0.020383
433.80,0.020164
436.80,0.020644
439.80,0.020459
442.80,0.020505
445.80,0.019765
448.80,0.020806
451.30,0.020219
453.30,0.019792
455.30,0.020391
457.30,0.019674
459.30,0.019954
461.30,0.020899
463.30,0.020185
465.30,0.020077
467.30,0.020127
469.30,0.020435
471.30,0.021067
473.30,0.020100
475.30,0.020656
477.30,0.020942
479.30,0.020204
481.30,0.020785
483.30,0.020700
485.30,0.020442
487.30,0.021143
489.30,0.020477
491.30,0.021811
493.30,0.020796
495.30,0.021076
497.30,0.021428
499.30,0.021292
501.30,0.021907
503.30,0.021495
505.30,0.022201
507.30,0.021789
509.30,0.022046
511.30,0.022551
513.30,0.022250
515.30,0.022346
517.30,0.022415
519.30,0.023612
521.30,0.022310
523.30,0.024204
525.30,0.023711
527.30,0.024371
529.30,0.025151
531.30,0.024949
533.30,0.025558
535.30,0.026401
537.30,0.027100
539.30,0.027686
541.30,0.029301
543.30,0.031046
545.30,0.032046
547.30,0.033867
549.30,0.036310
551.30,0.038899
553.30,0.042212
555.30,0.044820
557.30,0.050013
559.30,0.053676
561.30,0.058791
563.30,0.063999
565.30,0.069581
567.30,0.075826
569.30,0.082811
571.30,0.089305
573.30,0.096145
575.30,0.103331
577.30,0.110555
579.30,0.117165
581.30,0.123489
583.30,0.130474
585.30,0.136751
587.30,0.142104
589.30,0.146698
591.30,0.151104
593.30,0.154441
595.30,0.159061
597.30,0.159912
599.30,0.163066
601.10,0.166288
602.70,0.168203
604.30,0.169756
605.90,0.172117
607.50,0.173680
609.10,0.176170
610.70,0.176756
612.30,0.178413
613.90,0.179552
615.50,0.180328
617.10,0.181746
618.70,0.182812
620.30,0.183671
621.90,0.184770
623.50,0.186064
625.10,0.187391
626.70,0.188733
628.30,0.188982
629.90,0.190599
631.70,0.191848
633.70,0.192843
635.70,0.194772
637.70,0.195695
639.70,0.197065
641.70,0.198881
643.70,0.200411
645.70,0.202322
647.70,0.203849
649.70,0.206116
651.70,0.207819
653.70,0.209851
655.70,0.211387
657.70,0.214048
659.70,0.218126
661.70,0.221435
663.70,0.225632
665.70,0.230607
667.70,0.233775
670.20,0.238702
673.20,0.242704
676.20,0.247779
679.20,0.252562
682.20,0.258389
685.20,0.260582
688.20,0.264156
691.20,0.267779
694.20,0.271122
697.20,0.274469
700.20,0.278090
702.00,0.281041
704.00,0.283872
706.00,0.287235
708.00,0.289242
710.00,0.293191
712.00,0.296089
714.00,0.299686
716.00,0.301642
718.00,0.303217
720.00,0.304998
722.00,0.306897
724.00,0.308692
726.00,0.309662
728.00,0.311040
730.00,0.311192
732.00,0.311446
734.00,0.311645
736.00,0.312086
738.00,0.311252
740.00,0.309791
742.00,0.308593
744.00,0.306637
746.00,0.303253
748.00,0.301701
750.50,0.298705
753.50,0.295575
756.50,0.291815
759.50,0.288461
762.50,0.284921
765.50,0.280607
768.50,0.275541
771.50,0.270983
774.50,0.266457
777.50,0.261720
781.00,0.257345
785.00,0.252472
789.00,0.249007
793.00,0.244021
797.00,0.239224
801.50,0.234913
806.50,0.230933
811.50,0.233991
816.50,0.232238
822.00,0.230572
828.00,0.234424
835.00,0.236836
843.00,0.241409
851.00,0.248650
859.00,0.254919
871.00,0.268748
883.00,0.277698
894.00,0.285776
904.00,0.299721
914.00,0.315167
924.00,0.325390
933.00,0.337140
941.00,0.348914
949.00,0.360318
957.00,0.373817
964.00,0.386904
970.00,0.400358
976.00,0.412832
982.00,0.424056
988.00,0.435844
994.00,0.443065
1000.00,0.454401
1006.00,0.459884
1012.00,0.468972
1018.00,0.476378
1023.50,0.481143
1028.50,0.489603
1033.50,0.496833
1038.50,0.504008
1043.50,0.510676
1048.50,0.517840
1053.50,0.526327
1058.50,0.533603
1063.50,0.541185
1068.50,0.548340
1073.50,0.557070
1078.50,0.565974
1083.50,0.574710
1088.50,0.582585
1093.50,0.591024
1098.50,0.599694
1103.50,0.610400
1108.50,0.621941
1113.50,0.630876
1118.50,0.638598
1123.50,0.649663
1128.50,0.660098
1133.50,0.669665
1138.50,0.677937
1143.50,0.688918
1148.50,0.698817
1153.50,0.709648
1158.50,0.720785
1163.50,0.725781
1168.50,0.734559
1173.50,0.741532
1178.50,0.747294
1183.50,0.755474
1188.50,0.762566
1193.50,0.767522
1198.50,0.770343
1203.50,0.777546
1208.50,0.780799
1213.50,0.785870
1218.50,0.791544
1223.50,0.794477
1228.50,0.796001
1233.50,0.801243
1238.50,0.803852
1243.50,0.803933
1248.50,0.807112
1253.50,0.808608
1258.50,0.810601
1263.50,0.812233
1268.50,0.813838
1273.50,0.815018
1278.50,0.816532
1283.50,0.817101
1288.50,0.817807
1293.50,0.820502
1298.50,0.820120
1303.50,0.822236
1308.50,0.819018
1313.50,0.822251
1318.50,0.822115
1323.50,0.822837
1328.50,0.822091
1333.50,0.825985
1338.50,0.821942
1343.50,0.824180
1348.50,0.816381
1353.50,0.812206
1358.50,0.815100
1363.50,0.815218
1368.50,0.817073
1373.50,0.815215
