wavelength_nm,reflectance
205.10,0.023697
213.10,0.031245
221.10,0.028109
229.10,0.033012
236.10,0.034907
242.10,0.039818
248.10,0.035631
253.60,0.037187
258.60,0.038410
263.60,0.041065
268.60,0.038863
273.10,0.037621
277.10,0.039360
281.10,0.036812
285.10,0.037811
289.10,0.038943
293.10,0.039266
297.10,0.039891
301.10,0.040987
305.10,0.040773
309.10,0.040290
313.10,0.040594
317.10,0.039988
321.10,0.039960
325.10,0.040500
329.10,0.040830
333.10,0.042144
337.10,0.042714
341.10,0.043114
345.10,0.043861
349.10,0.042957
353.10,0.045547
357.10,0.044640
360.60,0.045372
363.60,0.046575
366.60,0.046461
369.60,0.047173
372.60,0.047196
375.60,0.047630
378.60,0.047398
381.10,0.047438
383.10,0.047284
385.10,0.049469
387.10,0.048429
389.10,0.049604
391.10,0.048655
393.10,0.049336
395.10,0.049366
397.10,0.049145
399.10,0.049255
401.10,0.050813
403.10,0.050018
405.10,0.049620
407.10,0.050305
409.10,0.050006
411.10,0.050545
412.80,0.050259
415.80,0.049869
418.80,0.050287
421.80,0.050127
424.80,0.049319
427.80,0.050195
430.80,0.049454
433.80,0.049254
436.80,0.049548
439.80,0.050218
442.80,0.048386
445.80,0.048849
448.80,0.047539
451.30,0.048304
453.30,0.048225
455.30,0.047449
457.30,0.047835
459.30,0.047065
461.30,0.048403
463.30,0.047288
465.30,0.048373
467.30,0.048099
469.30,0.047736
471.30,0.046616
473.30,0.047480
475.30,0.046846
477.30,0.047236
479.30,0.047198
481.30,0.046705
483.30,0.046719
485.30,0.046293
487.30,0.046124
489.30,0.046905
491.30,0.046243
493.30,0.046065
495.30,0.045994
497.30,0.046572
499.30,0.046359
501.30,0.046328
503.30,0.046246
505.30,0.046259
507.30,0.046588
509.30,0.046140
511.30,0.046774
513.30,0.047022
515.30,0.046224
517.30,0.046401
519.30,0.046043
521.30,0.046734
523.30,0.047719
525.30,0.046276
527.30,0.047245
529.30,0.046782
531.30,0.046923
533.30,0.047346
535.30,0.048086
537.30,0.047353
539.30,0.047534
541.30,0.046942
543.30,0.047618
545.30,0.047226
547.30,0.047997
549.30,0.048072
551.30,0.049144
553.30,0.048556
555.30,0.048541
557.30,0.049493
559.30,0.049644
561.30,0.050081
563.30,0.050589
565.30,0.052549
567.30,0.051992
569.30,0.053081
571.30,0.054672
573.30,0.054247
575.30,0.054992
577.30,0.056767
579.30,0.058535
581.30,0.059628
583.30,0.060462
585.30,0.062527
587.30,0.062240
589.30,0.063854
591.30,0.064544
593.30,0.065327
595.30,0.066227
597.30,0.066497
599.30,0.066438
601.10,0.067269
602.70,0.068589
604.30,0.069535
605.90,0.069365
607.50,0.069783
609.10,0.069696
610.70,0.070394
612.30,0.070657
613.90,0.070447
615.50,0.071917
617.10,0.071404
618.70,0.071892
620.30,0.072635
621.90,0.071983
623.50,0.072699
625.10,0.072550
626.70,0.073454
628.30,0.073135
629.90,0.074013
631.70,0.075206
633.70,0.074078
635.70,0.075080
637.70,0.075352
639.70,0.075011
641.70,0.076831
643.70,0.076945
645.70,0.077884
647.70,0.077434
649.70,0.078343
651.70,0.078443
653.70,0.079558
655.70,0.080126
657.70,0.080524
659.70,0.080773
661.70,0.082486
663.70,0.082984
665.70,0.083975
667.70,0.085210
670.20,0.086803
673.20,0.087800
676.20,0.088845
679.20,0.090620
682.20,0.092379
685.20,0.092980
688.20,0.094701
691.20,0.094869
694.20,0.097022
697.20,0.097014
700.20,0.098131
702.00,0.099600
704.00,0.100396
706.00,0.101550
708.00,0.102132
710.00,0.103076
712.00,0.104303
714.00,0.104877
716.00,0.106186
718.00,0.107005
720.00,0.107699
722.00,0.108454
724.00,0.108883
726.00,0.109735
728.00,0.110153
730.00,0.110932
732.00,0.111951
734.00,0.112733
736.00,0.112324
738.00,0.112761
740.00,0.112404
742.00,0.113082
744.00,0.112620
746.00,0.112975
748.00,0.113113
750.50,0.112633
753.50,0.112568
756.50,0.112001
759.50,0.111053
762.50,0.110601
765.50,0.109831
768.50,0.109561
771.50,0.107886
774.50,0.107226
777.50,0.105762
781.00,0.105504
785.00,0.103204
789.00,0.102441
793.00,0.101438
797.00,0.099913
801.50,0.099553
806.50,0.098558
811.50,0.097205
816.50,0.098175
822.00,0.099000
828.00,0.100232
835.00,0.102789
843.00,0.101811
851.00,0.105012
859.00,0.104005
871.00,0.107510
883.00,0.112450
894.00,0.114287
904.00,0.118463
914.00,0.119952
924.00,0.125748
933.00,0.129464
941.00,0.133358
949.00,0.133160
957.00,0.137669
964.00,0.140351
970.00,0.142865
976.00,0.145345
982.00,0.144649
988.00,0.145625
994.00,0.148207
1000.00,0.149404
1006.00,0.147735
1012.00,0.150749
1018.00,0.149422
1023.50,0.149862
1028.50,0.150616
1033.50,0.150660
1038.50,0.148851
1043.50,0.150411
1048.50,0.149107
1053.50,0.149744
1058.50,0.149298
1063.50,0.149815
1068.50,0.149783
1073.50,0.150205
1078.50,0.148865
1083.50,0.148805
1088.50,0.149180
1093.50,0.147670
1098.50,0.146897
1103.50,0.147054
1108.50,0.147284
1113.50,0.146188
1118.50,0.146986
1123.50,0.146318
1128.50,0.145700
1133.50,0.144856
1138.50,0.146218
1143.50,0.144940
1148.50,0.144823
1153.50,0.143323
1158.50,0.145838
1163.50,0.142627
1168.50,0.142775
1173.50,0.141703
1178.50,0.141681
1183.50,0.141826
1188.50,0.141103
1193.50,0.140720
1198.50,0.140295
1203.50,0.139568
1208.50,0.139811
1213.50,0.138083
1218.50,0.139236
1223.50,0.138262
1228.50,0.138045
1233.50,0.137752
1238.50,0.136640
1243.50,0.137480
1248.50,0.136879
1253.50,0.135069
1258.50,0.134981
1263.50,0.134812
1268.50,0.133583
1273.50,0.133622
1278.50,0.134410
1283.50,0.132868
1288.50,0.132511
1293.50,0.131995
1298.50,0.132673
1303.50,0.132534
1308.50,0.131989
1313.50,0.130738
1318.50,0.131842
1323.50,0.130873
1328.50,0.131422
1333.50,0.130562
1338.50,0.130080
1343.50,0.129950
1348.50,0.130583
1353.50,0.129475
1358.50,0.128249
1363.50,0.128081
1368.50,0.128284
1373.50,0.127744
1378.50,0.127786
1383.50,0.129801
1388.50,0.127735
1393.50,0.126759
1398.50,0.126873
1403.50,0.127787
1408.50,0.128265
1413.50,0.127588
1418.50,0.128115
1423.50,0.125966
1428.50,0.126254
1433.50,0.126733
1438.50,0.126099
1443.50,0.126216
1448.50,0.126927
1453.50,0.126195
1458.50,0.125074
1463.50,0.125029
1468.50,0.125195
1473.50,0.124692
1478.50,0.124901
1483.50,0.126673
1488.50,0.125101
1493.50,0.125697
1498.50,0.126809
1503.50,0.124990
1508.50,0.125058
1513.50,0.125106
1518.50,0.123362
1523.50,0.125271
1528.50,0.125815
1534.00,0.125155
1540.00,0.125350
1546.00,0.124092
1552.00,0.124452
1558.00,0.124332
1564.00,0.124953
1570.50,0.123245
1577.50,0.124917
1584.50,0.124262
1591.50,0.124070
1598.50,0.125676
1605.50,0.124208
1612.50,0.123895
1619.50,0.123552
1626.50,0.125009
1633.50,0.123677
1640.50,0.124127
1647.50,0.122453
1654.50,0.123221
1661.50,0.122803
1668.50,0.123703
1676.00,0.124308
1684.00,0.122498
1692.00,0.121018
1700.00,0.124612
1708.00,0.122516
1716.00,0.123332
1724.00,0.124653
1732.00,0.123539
1740.00,0.125074
1748.00,0.125903
1756.00,0.126475
1764.00,0.124249
