wavelength_nm,reflectance
205.10,0.190863
213.10,0.189153
221.10,0.189230
229.10,0.199218
236.10,0.203455
242.10,0.216325
248.10,0.232532
253.60,0.238585
258.60,0.255070
263.60,0.264192
268.60,0.270531
273.10,0.275055
277.10,0.283211
281.10,0.286349
285.10,0.291073
289.10,0.292713
293.10,0.293921
297.10,0.307133
301.10,0.304318
305.10,0.321826
309.10,0.332431
313.10,0.343680
317.10,0.359323
321.10,0.380551
325.10,0.405587
329.10,0.430534
333.10,0.451093
337.10,0.469374
341.10,0.491577
345.10,0.505143
349.10,0.526340
353.10,0.544282
357.10,0.554226
360.60,0.570280
363.60,0.574441
366.60,0.580043
369.60,0.585603
372.60,0.594239
375.60,0.600188
378.60,0.606923
381.10,0.608110
383.10,0.617341
385.10,0.620370
387.10,0.623712
389.10,0.625408
391.10,0.634613
393.10,0.636113
395.10,0.641692
397.10,0.645651
399.10,0.649157
401.10,0.651414
403.10,0.655503
405.10,0.660601
407.10,0.663109
409.10,0.665396
411.10,0.667675
412.80,0.672722
415.80,0.678708
418.80,0.679162
421.80,0.686928
424.80,0.690729
427.80,0.695892
430.80,0.694296
433.80,0.695135
436.80,0.697658
439.80,0.698860
442.80,0.697099
445.80,0.700963
448.80,0.702385
451.30,0.706900
453.30,0.703344
455.30,0.703338
457.30,0.708020
459.30,0.708014
461.30,0.707489
463.30,0.709473
465.30,0.709729
467.30,0.713335
469.30,0.714083
471.30,0.714423
473.30,0.718616
475.30,0.715694
477.30,0.719623
479.30,0.718236
481.30,0.722048
483.30,0.720203
485.30,0.725093
487.30,0.724139
489.30,0.724345
491.30,0.729941
493.30,0.731207
495.30,0.730311
497.30,0.733033
499.30,0.732449
501.30,0.737903
503.30,0.739428
505.30,0.737654
507.30,0.744040
509.30,0.742184
511.30,0.741940
513.30,0.741163
515.30,0.744999
517.30,0.746123
519.30,0.749024
521.30,0.750248
523.30,0.748019
525.30,0.749643
527.30,0.752288
529.30,0.751283
531.30,0.751959
533.30,0.752652
535.30,0.757725
537.30,0.759351
539.30,0.756168
541.30,0.759561
543.30,0.756436
545.30,0.756659
547.30,0.756412
549.30,0.760132
551.30,0.757429
553.30,0.758631
555.30,0.759832
557.30,0.760911
559.30,0.762441
561.30,0.762038
563.30,0.759445
565.30,0.761395
567.30,0.766494
569.30,0.766238
571.30,0.765256
573.30,0.764205
575.30,0.767899
577.30,0.766693
579.30,0.764068
581.30,0.763636
583.30,0.767915
585.30,0.766200
587.30,0.765382
589.30,0.765302
591.30,0.765316
593.30,0.765694
595.30,0.764254
597.30,0.766415
599.30,0.766808
601.10,0.764287
602.70,0.765012
604.30,0.763366
605.90,0.765883
607.50,0.766418
609.10,0.765734
610.70,0.767175
612.30,0.767162
613.90,0.762868
615.50,0.770304
617.10,0.767209
618.70,0.767099
620.30,0.764994
621.90,0.770280
623.50,0.770578
625.10,0.768873
626.70,0.765940
628.30,0.768939
629.90,0.765211
631.70,0.769467
633.70,0.764824
