wavelength_nm,reflectance
205.10,0.077285
213.10,0.076257
221.10,0.078627
229.10,0.078853
236.10,0.079545
242.10,0.082103
248.10,0.083606
253.60,0.086813
258.60,0.089688
263.60,0.095815
268.60,0.103462
273.10,0.110078
277.10,0.120266
281.10,0.132173
285.10,0.146780
289.10,0.165319
293.10,0.184918
297.10,0.208499
301.10,0.231557
305.10,0.256330
309.10,0.278942
313.10,0.299383
317.10,0.318476
321.10,0.334991
325.10,0.348021
329.10,0.360071
333.10,0.369855
337.10,0.380304
341.10,0.389632
345.10,0.398037
349.10,0.406849
353.10,0.417667
357.10,0.426168
360.60,0.432925
363.60,0.441799
366.60,0.450177
369.60,0.460645
372.60,0.469621
375.60,0.478594
378.60,0.485940
381.10,0.490128
383.10,0.495864
385.10,0.500569
387.10,0.505771
389.10,0.512853
391.10,0.518206
393.10,0.525227
395.10,0.531513
397.10,0.536374
399.10,0.541936
401.10,0.547339
403.10,0.551706
405.10,0.556493
407.10,0.560371
409.10,0.565399
411.10,0.567799
412.80,0.569954
415.80,0.576481
418.80,0.581656
421.80,0.587493
424.80,0.594630
427.80,0.602173
430.80,0.604892
433.80,0.609237
436.80,0.613315
439.80,0.615416
442.80,0.620013
445.80,0.624999
448.80,0.628148
451.30,0.631407
453.30,0.634359
455.30,0.636633
457.30,0.639422
459.30,0.641226
461.30,0.641564
463.30,0.644064
465.30,0.644321
467.30,0.644495
469.30,0.645464
471.30,0.646265
473.30,0.647837
475.30,0.649660
477.30,0.653316
479.30,0.657563
481.30,0.659160
483.30,0.662134
485.30,0.665796
487.30,0.668818
489.30,0.670579
491.30,0.670552
493.30,0.671591
495.30,0.667533
497.30,0.667421
499.30,0.664257
501.30,0.661542
503.30,0.659415
505.30,0.658250
507.30,0.658082
509.30,0.657546
511.30,0.659834
513.30,0.658598
515.30,0.660136
517.30,0.659146
519.30,0.660664
521.30,0.660707
523.30,0.662193
525.30,0.660657
527.30,0.662484
529.30,0.662551
531.30,0.663104
533.30,0.662776
535.30,0.663446
537.30,0.662922
539.30,0.664665
541.30,0.664144
543.30,0.665558
545.30,0.666238
547.30,0.667314
549.30,0.666791
551.30,0.667993
553.30,0.669414
555.30,0.668895
557.30,0.669251
559.30,0.671526
561.30,0.672561
563.30,0.671536
565.30,0.672917
567.30,0.674833
569.30,0.673873
571.30,0.674883
573.30,0.676623
575.30,0.677785
577.30,0.679560
579.30,0.681733
581.30,0.684452
583.30,0.683768
585.30,0.686509
587.30,0.688480
589.30,0.693241
591.30,0.692630
593.30,0.694389
595.30,0.696862
597.30,0.699661
599.30,0.700524
601.10,0.704050
602.70,0.705500
604.30,0.706921
605.90,0.710543
607.50,0.710507
609.10,0.712261
610.70,0.714457
612.30,0.714351
613.90,0.716684
615.50,0.718594
617.10,0.720310
618.70,0.722671
620.30,0.722581
621.90,0.725676
623.50,0.725735
625.10,0.727573
626.70,0.730350
628.30,0.730255
629.90,0.732624
631.70,0.733286
633.70,0.736212
635.70,0.738075
637.70,0.739610
639.70,0.742263
641.70,0.741763
643.70,0.744278
645.70,0.744280
647.70,0.747294
649.70,0.748886
651.70,0.751424
653.70,0.750826
655.70,0.753014
657.70,0.754363
659.70,0.756026
661.70,0.757684
663.70,0.760176
665.70,0.762038
667.70,0.762377
670.20,0.764397
673.20,0.767362
676.20,0.768177
679.20,0.771825
682.20,0.771694
685.20,0.774237
688.20,0.776965
691.20,0.777735
694.20,0.779617
697.20,0.780885
700.20,0.783551
702.00,0.781027
704.00,0.783519
706.00,0.783825
708.00,0.785526
710.00,0.787103
712.00,0.787255
714.00,0.789521
716.00,0.790161
718.00,0.788788
720.00,0.790508
722.00,0.791986
724.00,0.792146
726.00,0.793171
728.00,0.794582
730.00,0.794036
732.00,0.795967
734.00,0.796883
736.00,0.797720
738.00,0.797713
740.00,0.796671
742.00,0.798987
744.00,0.795824
746.00,0.797988
748.00,0.797263
750.50,0.800387
753.50,0.799443
756.50,0.797681
759.50,0.798684
762.50,0.798568
765.50,0.798880
768.50,0.798340
771.50,0.797893
774.50,0.798255
777.50,0.798094
781.00,0.796574
785.00,0.797107
789.00,0.794183
793.00,0.793799
797.00,0.792410
801.50,0.790982
806.50,0.790013
811.50,0.789922
816.50,0.787096
822.00,0.786383
828.00,0.784939
835.00,0.783239
843.00,0.780252
851.00,0.780227
859.00,0.775934
871.00,0.776291
883.00,0.776844
894.00,0.779202
904.00,0.777286
914.00,0.778239
924.00,0.781689
933.00,0.782935
941.00,0.783079
949.00,0.777265
957.00,0.777038
964.00,0.782725
970.00,0.786113
976.00,0.790086
982.00,0.792518
988.00,0.791384
994.00,0.793873
1000.00,0.795037
1006.00,0.792549
1012.00,0.793435
1018.00,0.795581
1023.50,0.795654
1028.50,0.794944
1033.50,0.794806
1038.50,0.794767
1043.50,0.796470
1048.50,0.795906
1053.50,0.798377
1058.50,0.794429
1063.50,0.795383
1068.50,0.798179
1073.50,0.797121
1078.50,0.797641
1083.50,0.799147
1088.50,0.798912
1093.50,0.799832
1098.50,0.802255
1103.50,0.800855
1108.50,0.801860
1113.50,0.802092
1118.50,0.804486
1123.50,0.803020
1128.50,0.806656
1133.50,0.804620
1138.50,0.808070
1143.50,0.809928
1148.50,0.811548
1153.50,0.812500
1158.50,0.809880
1163.50,0.811717
1168.50,0.814380
1173.50,0.814515
1178.50,0.814655
1183.50,0.817098
1188.50,0.819793
1193.50,0.819676
1198.50,0.820950
1203.50,0.822743
1208.50,0.823186
1213.50,0.824474
1218.50,0.825947
1223.50,0.827543
1228.50,0.830036
1233.50,0.831512
1238.50,0.832776
1243.50,0.829979
1248.50,0.836108
1253.50,0.835783
1258.50,0.838294
1263.50,0.839768
1268.50,0.840619
1273.50,0.842110
1278.50,0.841456
1283.50,0.841636
1288.50,0.842437
1293.50,0.844521
1298.50,0.840265
1303.50,0.843227
1308.50,0.842291
1313.50,0.842930
1318.50,0.842063
1323.50,0.844001
1328.50,0.847120
1333.50,0.848174
1338.50,0.852280
1343.50,0.851060
1348.50,0.854475
1353.50,0.854571
1358.50,0.852059
1363.50,0.850651
1368.50,0.847033
1373.50,0.842039
1378.50,0.837873
1383.50,0.820065
1388.50,0.770312
1393.50,0.691942
1398.50,0.634670
1403.50,0.608113
1408.50,0.601326
1413.50,0.662142
1418.50,0.740113
1423.50,0.795536
1428.50,0.828986
1433.50,0.849972
1438.50,0.857479
1443.50,0.862537
1448.50,0.865991
1453.50,0.868030
1458.50,0.870269
1463.50,0.872873
1468.50,0.876433
1473.50,0.874622
1478.50,0.876231
1483.50,0.875546
1488.50,0.878053
1493.50,0.880297
1498.50,0.877522
1503.50,0.880869
1508.50,0.881668
1513.50,0.881779
1518.50,0.885922
1523.50,0.882452
1528.50,0.880534
1534.00,0.884368
1540.00,0.884995
1546.00,0.885337
1552.00,0.886576
1558.00,0.887505
1564.00,0.887188
1570.50,0.888978
1577.50,0.888887
1584.50,0.890785
1591.50,0.891838
1598.50,0.891148
1605.50,0.891804
1612.50,0.894198
1619.50,0.891983
1626.50,0.892213
1633.50,0.893678
1640.50,0.891533
1647.50,0.894688
1654.50,0.892258
1661.50,0.893932
1668.50,0.889506
1676.00,0.894227
1684.00,0.892188
1692.00,0.893950
1700.00,0.895983
1708.00,0.894070
1716.00,0.894755
1724.00,0.893680
1732.00,0.893405
1740.00,0.891526
1748.00,0.891284
1756.00,0.890344
1764.00,0.887562
1772.00,0.889339
1780.00,0.890731
1788.00,0.888325
1796.00,0.888185
1805.00,0.883356
1815.00,0.878928
1825.00,0.876702
1835.00,0.874124
1845.00,0.873736
1855.00,0.875475
1865.00,0.869460
1875.00,0.861784
1885.00,0.850776
1895.00,0.836871
1905.00,0.825877
1915.00,0.823559
1925.00,0.826695
1935.00,0.826407
1945.00,0.827793
1955.00,0.824299
1965.00,0.824256
1975.00,0.820057
1985.00,0.820204
1995.00,0.813946
2005.00,0.817742
2015.00,0.816873
2025.00,0.818318
2035.00,0.815575
2045.00,0.811493
2055.00,0.806764
2065.00,0.799933
2075.00,0.791467
2085.00,0.777012
2095.00,0.760894
2105.00,0.752548
2115.00,0.749072
2125.00,0.754230
2135.00,0.750019
2145.00,0.733864
2155.00,0.703090
2165.00,0.642792
2175.00,0.554852
2185.00,0.480489
2195.00,0.484532
2205.00,0.551873
2215.00,0.630965
2225.00,0.671933
2235.00,0.693444
2245.00,0.703929
2255.00,0.709185
2265.00,0.713327
2275.00,0.711095
2285.00,0.698376
2295.00,0.670370
2305.00,0.643252
2315.00,0.608888
2325.00,0.574642
2335.00,0.553972
2345.00,0.555603
2355.00,0.570642
2365.00,0.578172
2375.00,0.573523
2386.00,0.572633
2400.00,0.542172
2418.00,0.515499
2440.00,0.527278
2466.00,0.558098
2496.00,0.587738
2528.00,0.587566
2560.00,0.566090
2592.00,0.539594
2624.00,0.531328
2656.00,0.433245
2688.00,0.234737
2720.00,0.024328
2752.00,0.100156
2784.00,0.226142
2816.00,0.254094
2848.00,0.251372
2880.00,0.242597
2912.00,0.239528
2944.00,0.244886
