wavelength_nm,reflectance
205.10,0.068052
213.10,0.072753
221.10,0.071586
229.10,0.070141
236.10,0.078280
242.10,0.080079
248.10,0.080975
253.60,0.089902
258.60,0.091800
263.60,0.103849
268.60,0.112424
273.10,0.120474
277.10,0.139273
281.10,0.157604
285.10,0.171832
289.10,0.187670
293.10,0.211630
297.10,0.231570
301.10,0.254620
305.10,0.273968
309.10,0.295126
313.10,0.309494
317.10,0.333133
321.10,0.346522
325.10,0.357350
329.10,0.366400
333.10,0.368807
337.10,0.371020
341.10,0.376455
345.10,0.385904
349.10,0.393530
353.10,0.396745
357.10,0.407074
360.60,0.409345
363.60,0.410113
366.60,0.416757
369.60,0.424494
372.60,0.427826
375.60,0.432802
378.60,0.435090
381.10,0.441990
383.10,0.445593
385.10,0.449400
387.10,0.455627
389.10,0.460839
391.10,0.462280
393.10,0.470230
395.10,0.472996
397.10,0.475392
399.10,0.480017
401.10,0.480785
403.10,0.480906
405.10,0.482237
407.10,0.481597
409.10,0.482106
411.10,0.482474
412.80,0.482464
415.80,0.480099
418.80,0.482756
421.80,0.492658
424.80,0.498891
427.80,0.503283
430.80,0.506860
433.80,0.510180
436.80,0.513491
439.80,0.511645
442.80,0.515215
445.80,0.515552
448.80,0.518915
451.30,0.518475
453.30,0.518817
455.30,0.523358
457.30,0.521099
459.30,0.521534
461.30,0.528262
463.30,0.526304
465.30,0.526216
467.30,0.528418
469.30,0.526813
471.30,0.528013
473.30,0.529647
475.30,0.526286
477.30,0.532241
479.30,0.535634
481.30,0.532605
483.30,0.535580
485.30,0.535112
487.30,0.533370
489.30,0.535407
491.30,0.534219
493.30,0.535061
495.30,0.538053
497.30,0.539557
499.30,0.538111
501.30,0.538935
503.30,0.538475
505.30,0.539182
507.30,0.539603
509.30,0.540060
511.30,0.537037
513.30,0.539115
515.30,0.541201
517.30,0.541773
519.30,0.543406
521.30,0.537766
523.30,0.540757
525.30,0.543657
527.30,0.544851
529.30,0.544645
531.30,0.543972
533.30,0.544095
535.30,0.544241
537.30,0.543531
539.30,0.543955
541.30,0.544499
543.30,0.544538
545.30,0.545621
547.30,0.546461
549.30,0.544302
551.30,0.543639
553.30,0.546872
555.30,0.547500
557.30,0.546938
559.30,0.549318
561.30,0.549752
563.30,0.549987
565.30,0.546361
567.30,0.546708
569.30,0.548176
571.30,0.550176
573.30,0.552435
575.30,0.551021
577.30,0.551253
579.30,0.550943
581.30,0.550239
583.30,0.553672
585.30,0.553814
587.30,0.553858
589.30,0.551571
591.30,0.552093
593.30,0.554165
595.30,0.555788
597.30,0.555089
599.30,0.557348
